id,name_zh,alias_group,group,type,subtype,mp_cost,buy_cost,range_min,range_max,damage,block_value,hp_gain,mp_gain,draw_count,move_min,move_max,stock,persist_until_triggered,keywords,target_rule,description_template,enabled
shop_counter_1,勢回如潮功,通用反擊,shop,counter,any,2,3,1,2,0,0,0,0,0,0,0,1,false,"shop,counter,universal","single","反彈敵人攻擊，造成原來傷害，可反彈反擊，傷害X2。",true
shop_counter_2,巧手折招掌,通用反擊,shop,counter,any,2,3,1,2,0,0,0,0,0,0,0,1,false,"shop,counter,universal","single","反彈敵人攻擊，造成原來傷害，可反彈反擊，傷害X2。",true
shop_counter_3,反弧截脈拳,通用反擊,shop,counter,any,2,3,1,2,0,0,0,0,0,0,0,1,false,"shop,counter,universal","single","反彈敵人攻擊，造成原來傷害，可反彈反擊，傷害X2。",true
shop_counter_4,逆流斷勢劍,通用反擊,shop,counter,any,2,3,1,2,0,0,0,0,0,0,0,1,false,"shop,counter,universal","single","反彈敵人攻擊，造成原來傷害，可反彈反擊，傷害X2。",true
shop_guard_1,太虛護元功,高階防禦A,shop,defense,any,2,2,0,99,0,3,0,0,0,0,0,1,false,"shop,guard","self","成功防禦上一張咭牌的3點攻擊。",true
shop_guard_2,凝霜護脈功,高階防禦A,shop,defense,any,2,2,0,99,0,3,0,0,0,0,0,1,false,"shop,guard","self","成功防禦上一張咭牌的3點攻擊。",true
shop_mp_1,聚氣還元丹,回MPA,shop,recover,mp,1,2,0,0,0,0,0,3,0,0,0,1,false,"shop,recover","self","增加3點MP。",true
shop_mp_2,天元聚炁丹,回MPA,shop,recover,mp,1,2,0,0,0,0,0,3,0,0,0,1,false,"shop,recover","self","增加3點MP。",true
shop_hp_1,碧血生肌散,回HPA,shop,recover,hp,1,2,0,0,0,0,2,0,0,0,0,1,false,"shop,recover","self","增加2點HP。",true
shop_hp_2,雪參續骨丹,回HPA,shop,recover,hp,1,2,0,0,0,0,2,0,0,0,0,1,false,"shop,recover","self","增加2點HP。",true
shop_resource_1,凝神靈蘭露,資源A,shop,recover,resource,1,2,0,0,0,0,0,1,2,0,0,1,false,"shop,recover,draw","self","增加1點MP，抽2張手牌。",true
shop_resource_2,靈犀醒腦香,資源A,shop,recover,resource,1,2,0,0,0,0,0,1,2,0,0,1,false,"shop,recover,draw","self","增加1點MP，抽2張手牌。",true
shop_dash_1,輕鴻九轉,高速移動A,shop,move,dash,1,2,1,2,0,0,0,0,0,1,2,1,false,"shop,move,dash","self","本回合移動1–2格距離。",true
shop_dash_2,青羽飛塵,高速移動A,shop,move,dash,1,2,1,2,0,0,0,0,0,1,2,1,false,"shop,move,dash","self","本回合移動1–2格距離。",true
